time,latitude,longitude,depth,ph
2025-02-15,57.00085,8.33305,0.5,8.052898270113289
2025-02-15,57.00085,8.33305,1.5,8.052863374760037
2025-02-15,57.00085,8.33305,2.5,8.052836438725148
2025-02-15,57.00085,8.33305,5.0,8.052754210560288
2025-02-15,57.00085,8.33305,7.5,8.052724095450237
2025-02-15,57.00085,8.33305,10.0,8.052681133048903
2025-02-15,57.00085,8.33305,12.5,8.052690559619851
2025-02-15,57.00085,8.33305,15.0,8.052871675084315
2025-02-15,57.06752,4.11087,0.5,8.057899475097656
2025-02-15,57.06752,4.11087,1.5,8.057789854063504
2025-02-15,57.06752,4.11087,2.5,8.057707864941165
2025-02-15,57.06752,4.11087,5.0,8.057549057424668
2025-02-15,57.06752,4.11087,7.5,8.057409958360973
2025-02-15,57.06752,4.11087,10.0,8.057274280295157
2025-02-15,57.06752,4.11087,12.5,8.057138606658093
2025-02-15,57.06752,4.11087,15.0,8.05700531775673
2025-02-15,57.06752,4.11087,20.0,8.056746344288348
2025-02-15,57.06752,4.11087,25.0,8.05648971021817
2025-02-15,57.06752,4.11087,30.0,8.056236285652385
2025-02-15,57.06752,4.11087,40.0,8.055716722935088
2025-02-15,57.06752,4.11087,50.0,8.055178128044584
2025-02-15,57.06752,4.11087,60.0,8.0546021600967
